text,popularity,meaning1,meaning2
に し,39,,
さ あ,39,,
う ん,39,,
彼 女,38,he,woman
デ ィ,38,,
す ぐ,38,,
い つ,38,,
私 は,37,me,
時 間,37,time,interval
フ ォ,37,,
め て,37,,
な ら,37,,
た ん,37,,
い ん,37,,
願 い,36,request,
行 っ,36,go,
終 わ,36,end,
を 見,36,,see
れ た,36,,
ま で,36,,
に い,36,,
て み,36,,
聞 い,35,hear,
何 も,35,what,
ダ メ,35,,
れ だ,35,,
ま だ,35,,
て こ,35,,
そ こ,35,,
ー ン,34,,
れ て,34,,
だ け,34,,
た な,34,,
ジ ョ,33,,
を し,33,,
は な,33,,
に は,33,,
く だ,33,,
お 願,33,,request
知 ら,32,know,
来 た,32,come,
ジ ャ,32,,
ア ン,32,,
よ し,32,,
よ く,32,,
に 行,32,,go
こ う,32,,
か り,32,,
見 つ,31,see,
何 し,31,what,
ッ ド,31,,
れ を,31,,
ま た,31,,
た よ,31,,
せ て,31,,
良 い,30,good,
問 題,30,question,topic
シ ー,30,,
だ な,30,,
か い,30,,
助 け,29,help,
出 来,29,exit,come
信 じ,29,trust,
ー ク,29,,
チ ャ,29,,
や る,29,,
も な,29,,
て ろ,29,,
け ろ,29,,
き て,29,,
あ そ,29,,
通 り,28,"""pass",
誰 か,28,"""who",
何 で,28,what,
ニ ー,28,,
テ ィ,28,,
れ な,28,,
ら れ,28,,
の よ,28,,
な か,28,,
て た,28,,
考 え,27,think,
楽 し,27,pleasure,
手 を,27,hand,
思 う,27,think,
レ ン,27,,
て よ,27,,
だ さ,27,,
し な,27,,
言 う,26,say,
来 い,26,come,
ラ ン,26,,
し か,26,,
こ の,26,,
愛 し,25,love,
ュ ー,25,,
バ カ,25,,
れ る,25,,
め ろ,25,,
こ ん,25,,
こ か,25,,
き な,25,,
う 思,25,,think
う よ,25,,
う や,25,,
私 の,24,me,
来 る,24,come,
早 く,24,early,
待 て,24,wait,
何 て,24,what,
ロ ー,24,,
リ ス,24,,
ラ イ,24,,
ク ス,24,,
も し,24,,
な っ,24,,
つ も,24,,
ち ろ,24,,
た は,24,,
す ご,24,,
こ い,24,,
き ま,24,,
え た,24,,
う ぞ,24,,
行 か,23,go,
準 備,23,standard,provide
来 て,23,come,
一 緒,23,one,thong
ス タ,23,,
ク ソ,23,,
ィ ー,23,,
ア ー,23,,
れ ば,23,,
は 誰,23,,"""who"
な に,23,,
た だ,23,,
い ね,23,,
誰 だ,22,"""who",
緒 に,22,thong,
出 て,22,exit,
何 な,22,what,
ー ム,22,,
ー ド,22,,
ョ ー,22,,
フ ィ,22,,
ん て,22,,
ろ ん,22,,
れ が,22,,
り ゃ,22,,
ら ん,22,,
も ち,22,,
ま っ,22,,
だ い,22,,
し よ,22,,
さ れ,22,,
け た,22,,
か に,22,,
え な,22,,
あ れ,22,,
行 こ,21,go,
行 き,21,go,
私 も,21,me,
無 理,21,nothing,reason
当 に,21,hit,
元 気,21,origin,feeling
何 と,21,what,
リ ッ,21,,
わ な,21,,
る ぞ,21,,
に 来,21,,come
な る,21,,
な こ,21,,
と だ,21,,
で は,21,,
こ だ,21,,
き た,21,,
え る,21,,
う わ,21,,
間 違,20,interval,differ
開 け,20,open,
見 え,20,see,
落 ち,20,fall,
残 念,20,remainder,thought
意 味,20,idea,flavor
必 要,20,"""without",need
夫 だ,20,husband,
事 だ,20,"""abstract",
ー リ,20,,
ン ト,20,,
レ ッ,20,,
メ ガ,20,,
バ ー,20,,
カ ー,20,,
も い,20,,
の は,20,,
ど ん,20,,
と い,20,,
て も,20,,
つ か,20,,
ご い,20,,
電 話,19,electricity,talk
話 し,19,talk,
聞 こ,19,hear,
私 に,19,me,
気 を,19,feeling,
気 に,19,feeling,
殺 し,19,kill,
心 配,19,heart,distribute
彼 は,19,he,
前 は,19,"""in",
仕 事,19,do,"""abstract"
ン ジ,19,,
シ ョ,19,,
ゴ ー,19,,
ィ ン,19,,
を つ,19,,
わ り,19,,
と も,19,,
だ わ,19,,
た ぞ,19,,
こ え,19,,
違 い,18,differ,
逃 げ,18,escape,
良 か,18,good,
死 ん,18,death,
来 な,18,come,
君 は,18,you,
冗 談,18,superfluous,discuss
入 っ,18,enter,
ー レ,18,,
ー ト,18,,
レ イ,18,,
リ ン,18,,
ホ ー,18,,
ス ト,18,,
シ ャ,18,,
キ ャ,18,,
オ ー,18,,
ウ ォ,18,,
ウ ィ,18,,
わ っ,18,,
れ か,18,,
ら 出,18,,exit
も り,18,,
め ん,18,,
ま り,18,,
の せ,18,,
に 入,18,,enter
に あ,18,,
と か,18,,
だ ね,18,,
だ と,18,,
せ ろ,18,,
せ い,18,,
ご め,18,,
く ん,18,,
う こ,18,,
い ぞ,18,,
あ ら,18,,
あ の,18,,
言 え,17,say,
覚 え,17,memorize,
忘 れ,17,forget,
女 は,17,woman,
失 礼,17,lose,thanks
君 の,17,you,
ワ ー,17,,
ル ー,17,,
パ パ,17,,
シ ュ,17,,
ク リ,17,,
ガ フ,17,,
ェ イ,17,,
わ ね,17,,
れ よ,17,,
み ろ,17,,
ま え,17,,
と 待,17,,wait
ざ い,17,,
ご ざ,17,,
が 起,17,,"""wake"
銃 を,16,gun,
約 束,16,promise,bundle
私 が,16,me,
生 き,16,life,
気 だ,16,feeling,
名 前,16,name,"""in"
前 回,16,"""in",times
下 さ,16,below,
ン ク,16,,
マ ー,16,,
フ ラ,16,,
ェ ー,16,,
わ よ,16,,
ろ よ,16,,
ま あ,16,,
な く,16,,
で 何,16,,what
ち 着,16,,wear
だ か,16,,
た め,16,,
げ ろ,16,,
ぐ に,16,,
う ね,16,,
う じ,16,,
い と,16,,
い っ,16,,
起 き,15,"""wake",
見 ろ,15,see,
見 た,15,see,
見 せ,15,see,
無 い,15,nothing,
止 ま,15,stop,
戻 る,15,re-,
好 き,15,like,
出 し,15,exit,
任 せ,15,responsibility,
一 体,15,one,body
ー タ,15,,
ー シ,15,,
ン ド,15,,
リ ア,15,,
メ だ,15,,
ド ア,15,,
ジ ュ,15,,
サ ン,15,,
ら し,15,,
よ か,15,,
ゃ あ,15,,
ま れ,15,,
の 通,15,,"""pass"
て ん,15,,
く そ,15,,
き る,15,,
野 郎,14,field,son
確 か,14,certain,
知 り,14,know,
止 め,14,stop,
持 っ,14,hold,
戻 っ,14,re-,
感 じ,14,feeling,
悪 い,14,bad,
共 に,14,together,
俺 が,14,i,
ー ラ,14,,
ミ ー,14,,
ビ ー,14,,
パ ー,14,,
ッ プ,14,,
ジ ー,14,,
サ ー,14,,
ウ ソ,14,,
イ ン,14,,
イ ク,14,,
を 言,14,,say
ろ し,14,,
り な,14,,
や い,14,,
み ん,14,,
へ 行,14,,go
は 違,14,,differ
の 名,14,,name
の こ,14,,
に も,14,,
に な,14,,
と を,14,,
で い,14,,
て 行,14,,go
ち ら,14,,
ち ゃ,14,,
た く,14,,
そ っ,14,,
す れ,14,,
こ へ,14,,
け ど,14,,
く の,14,,
が い,14,,
う ご,14,,
い え,14,,
誰 が,13,"""who",
本 気,13,book,feeling
最 高,13,most,tall
手 伝,13,hand,transmit
思 い,13,think,
少 し,13,few,
前 の,13,"""in",
入 れ,13,enter,
会 え,13,association,
ラ ー,13,,
モ ー,13,,
マ マ,13,,
マ ッ,13,,
マ ス,13,,
ピ ー,13,,
ス ー,13,,
コ ー,13,,
イ ト,13,,
を 開,13,,open
を す,13,,
や れ,13,,
も だ,13,,
の 話,13,,talk
の た,13,,
で の,13,,
て 来,13,,come
て 下,13,,below
ち は,13,,
ち だ,13,,
た ね,13,,
そ り,13,,
す ま,13,,
じ ら,13,,
げ る,13,,
く ぞ,13,,
か あ,13,,
お や,13,,
お か,13,,
う も,13,,
う に,13,,
う と,13,,
い じ,13,,
い お,13,,
あ 行,13,,go
間 が,12,interval,
質 問,12,quality,question
話 を,12,talk,
言 い,12,say,
疲 れ,12,exhausted,
申 し,12,say,
理 だ,12,reason,
気 で,12,feeling,
教 え,12,teach,
念 だ,12,thought,
ー パ,12,,
ー ジ,12,,
ラ ッ,12,,
ョ ン,12,,
マ イ,12,,
パ ワ,12,,
ス テ,12,,
オ リ,12,,
イ リ,12,,
イ ア,12,,
る だ,12,,
り た,12,,
な 事,12,,"""abstract"
と こ,12,,
て て,12,,
つ い,12,,
っ か,12,,
だ め,12,,
だ が,12,,
そ し,12,,
け る,12,,
く わ,12,,
が や,12,,
か ま,12,,
え ろ,12,,
う 意,12,,idea
う そ,12,,
い し,12,,
い け,12,,
い く,12,,
題 な,11,topic,
頑 張,11,stubborn,stretch
関 係,11,related,"""person"
起 こ,11,"""wake",
私 を,11,me,
殺 さ,11,kill,
座 っ,11,sit,
夫 か,11,husband,
全 部,11,whole,part
俺 の,11,i,
係 な,11,"""person",
今 の,11,now,
上 げ,11,up,
ー メ,11,,
ー ズ,11,,
ー イ,11,,
ロ ン,11,,
ル ト,11,,
フ ァ,11,,
ソ ン,11,,
ケ イ,11,,
イ ラ,11,,
ア ナ,11,,
ん の,11,,
ん と,11,,
る さ,11,,
よ ろ,11,,
も っ,11,,
ま な,11,,
は 大,11,,large
に 戻,11,,re-
ど い,11,,
と 思,11,,think
と 共,11,,together
て お,11,,
っ く,11,,
す み,11,,
し っ,11,,
し く,11,,
け な,11,,
く し,11,,
が 言,11,,say
か か,11,,
う 一,11,,one
う は,11,,
あ ん,11,,
あ い,11,,
驚 い,10,wonder,
頼 む,10,trust,
面 白,10,face,white
間 だ,10,interval,
違 っ,10,differ,
誰 も,10,"""who",
言 わ,10,say,
着 い,10,wear,
目 を,10,eye,
母 さ,10,mother,
死 ぬ,10,death,
欲 し,10,longing,
怖 い,10,dreadful,
待 ち,10,wait,
子 は,10,child,
嬉 し,10,,
始 め,10,begin,
回 ま,10,times,
名 は,10,name,
動 く,10,move,
僕 は,10,me,
備 は,10,provide,
俺 は,10,i,
何 者,10,what,someone
何 や,10,what,
会 い,10,association,
伏 せ,10,prostrated,
他 に,10,other,
了 解,10,finish,untie
一 度,10,one,degrees
ー サ,10,,
ン ダ,10,,
ュ リ,10,,
ャ ン,10,,
メ リ,10,,
ム ズ,10,,
ベ イ,10,,
ブ ラ,10,,
ビ ッ,10,,
バ イ,10,,
ケ ー,10,,
グ レ,10,,
ク イ,10,,
キ ー,10,,
イ ー,10,,
ア イ,10,,
ア を,10,,
ん よ,10,,
ん は,10,,
ん た,10,,
れ ま,10,,
れ し,10,,
る で,10,,
ら い,10,,
め だ,10,,
み ま,10,,
ふ ざ,10,,
ば い,10,,
は こ,10,,
の と,10,,
な き,10,,
と 言,10,,say
と な,10,,
と で,10,,
と し,10,,
て 言,10,,say
て や,10,,
つ ま,10,,
ち へ,10,,
ち が,10,,
た れ,10,,
し 訳,10,,translate
ざ け,10,,
こ は,10,,
こ ち,10,,
け 行,10,,go
く り,10,,
く ら,10,,
く よ,10,,
き ゃ,10,,
か せ,10,,
お う,10,,
え そ,10,,
う 事,10,,"""abstract"
う ー,10,,
う ま,10,,
う の,10,,
い ら,10,,
静 か,9,quiet,
連 れ,9,"""take",
調 子,9,investigate,child
誰 に,9,"""who",
聞 け,9,hear,
絶 対,9,discontinue,opposite
結 構,9,tie,construct
素 晴,9,elementary,"""clear"
簡 単,9,simplicity,simple
無 事,9,nothing,"""abstract"
気 分,9,feeling,part
最 後,9,most,behind
晴 ら,9,"""clear",
捕 ま,9,catch,
後 で,9,behind,
彼 ら,9,he,
平 気,9,flat,feeling
帰 る,9,return,
博 士,9,Dr.,gentleman
前 だ,9,"""in",
僕 も,9,me,
俺 に,9,i,
何 に,9,what,
何 す,9,what,
ー ロ,9,,
ー フ,9,,
ー テ,9,,
ー ん,9,,
ン ス,9,,
ン は,9,,
ロ ッ,9,,
ャ ッ,9,,
モ ン,9,,
ム ラ,9,,
マ ジ,9,,
ビ ン,9,,
ハ ハ,9,,
ト リ,9,,
ッ タ,9,,
チ ェ,9,,
タ ン,9,,
グ リ,9,,
ガ ン,9,,
カ イ,9,,
ェ ル,9,,
イ ヤ,9,,
ア レ,9,,
ア ッ,9,,
ん ば,9,,
ら だ,9,,
や だ,9,,
ゃ ん,9,,
ゃ い,9,,
も 行,9,,go
め る,9,,
ま ず,9,,
ま ぁ,9,,
ほ ら,9,,
は 無,9,,nothing
は 分,9,,part
の 子,9,,child
の だ,9,,
に す,9,,
ど っ,9,,
で く,9,,
て き,9,,
ち を,9,,
だ こ,9,,
た ら,9,,
た も,9,,
す よ,9,,
し 行,9,,go
さ ま,9,,
け よ,9,,
く や,9,,
が っ,9,,
か も,9,,
お 待,9,,wait
あ と,9,,
高 だ,8,tall,
馬 鹿,8,horse,deer
食 べ,8,eat,
閣 下,8,tall,below
説 明,8,theory,bright
話 だ,8,talk,
話 せ,8,talk,
話 が,8,talk,
要 な,8,need,
続 け,8,continue,
統 領,8,unite,territory
素 敵,8,elementary,enemy
移 動,8,shift,move
確 認,8,certain,recognize
白 い,8,white,
消 え,8,extinguish,
殺 す,8,kill,
束 し,8,bundle,
方 な,8,direction,
捨 て,8,"""throw",
感 謝,8,feeling,apologize
思 っ,8,think,
安 全,8,cheap,whole
女 の,8,woman,
大 統,8,large,unite
大 変,8,large,change
変 だ,8,change,
場 所,8,place,place
危 険,8,dangerous,precipitous
分 だ,8,part,
俺 も,8,i,
体 何,8,body,what
仕 方,8,do,direction
今 は,8,now,
今 す,8,now,
事 に,8,"""abstract",
事 な,8,"""abstract",
中 に,8,middle,
下 が,8,below,
ー ッ,8,,
ー ガ,8,,
ー カ,8,,
ヴ ィ,8,,
メ ン,8,,
ボ ー,8,,
ホ ン,8,,
ナ ー,8,,
デ イ,8,,
ッ シ,8,,
サ ム,8,,
ク レ,8,,
ク タ,8,,
ク シ,8,,
キ ン,8,,
エ ル,8,,
エ リ,8,,
イ ル,8,,
イ エ,8,,
ィ ル,8,,
ア リ,8,,
ん に,8,,
を 殺,8,,kill
ろ せ,8,,
り に,8,,
り し,8,,
よ ね,8,,
も ね,8,,
ま さ,8,,
ま く,8,,
は あ,8,,
に 帰,8,,return
な り,8,,
ど れ,8,,
と お,8,,
で る,8,,
で ど,8,,
て あ,8,,
つ は,8,,
ち に,8,,
た ち,8,,
た し,8,,
ぜ こ,8,,
す ん,8,,
す ね,8,,
じ る,8,,
じ て,8,,
し ら,8,,
さ え,8,,
こ 行,8,,go
こ ろ,8,,
こ よ,8,,
げ て,8,,
が 必,8,,"""without"
が れ,8,,
が な,8,,
が う,8,,
か よ,8,,
お 疲,8,,exhausted
う れ,8,,
う さ,8,,
い 出,8,,exit
あ ぁ,8,,
離 れ,7,detach,
降 り,7,descend,
配 な,7,distribute,
邪 魔,7,wicked,witch
警 察,7,"""guard",guess
誰 の,7,"""who",
誰 で,7,"""who",
良 く,7,good,
聞 き,7,hear,
答 え,7,answer,
礼 し,7,thanks,
着 け,7,wear,
眠 れ,7,sleep,
監 視,7,oversee,"""look"
用 意,7,use,idea
父 さ,7,father,
減 に,7,decrease,
殺 せ,7,kill,
正 し,7,correct,
放 っ,7,release,
攻 撃,7,aggression,beat
撃 た,7,beat,
押 さ,7,push,
手 に,7,hand,
我 は,7,ego,
意 し,7,idea,
急 げ,7,hurry,
後 ろ,7,behind,
当 然,7,hit,so
家 に,7,house,
子 供,7,child,offer
女 を,7,woman,
嘘 だ,7,,
命 令,7,fate,orders
君 を,7,you,
十 分,7,ten,part
助 か,7,help,
加 減,7,add,decrease
前 に,7,"""in",
出 ろ,7,exit,
出 せ,7,exit,
全 員,7,whole,member
何 言,7,what,say
何 処,7,what,dispose
事 を,7,"""abstract",
事 は,7,"""abstract",
乗 れ,7,ride,
下 ろ,7,below,
ー マ,7,,
ー ザ,7,,
ー ゴ,7,,
ー は,7,,
ロ イ,7,,
レ ー,7,,
レ ス,7,,
ル タ,7,,
ラ ム,7,,
ャ ロ,7,,
マ ン,7,,
マ シ,7,,
ベ ル,7,,
ブ レ,7,,
ド リ,7,,
ト ン,7,,
ダ イ,7,,
ザ ー,7,,
サ イ,7,,
ォ ル,7,,
エ ー,7,,
エ ッ,7,,
エ イ,7,,
ウ ェ,7,,
イ レ,7,,
イ ビ,7,,
イ ス,7,,
を く,7,,
る 気,7,,feeling
り で,7,,
ら か,7,,
よ な,7,,
ゆ っ,7,,
や ろ,7,,
や ら,7,,
も の,7,,
も あ,7,,
め よ,7,,
め ま,7,,
め で,7,,
み て,7,,
み た,7,,
ま る,7,,
ま い,7,,
ほ ど,7,,
べ て,7,,
ひ ど,7,,
は よ,7,,
は ず,7,,
の 番,7,,"""one's"
の 人,7,,person
ね え,7,,
に よ,7,,
に そ,7,,
な 感,7,,feeling
な し,7,,
と は,7,,
と て,7,,
て 待,7,,wait
て 嬉,7,,
て 事,7,,"""abstract"
て ね,7,,
っ し,7,,
た り,7,,
せ る,7,,
せ な,7,,
す ぎ,7,,
す が,7,,
し ゃ,7,,
し も,7,,
さ よ,7,,
こ を,7,,
こ そ,7,,
け だ,7,,
く 聞,7,,hear
く い,7,,
が 何,7,,what
か 見,7,,see
か け,7,,
お り,7,,
え ば,7,,
え っ,7,,
う 通,7,,"""pass"
う 行,7,,go
う る,7,,
う ぜ,7,,
い 加,7,,add
い は,7,,
い ど,7,,
あ ど,7,,
ｏ ｋ,6,,
黙 っ,6,silence,
飲 む,6,drink,
閉 め,6,closed,
逮 捕,6,apprehend,catch
連 絡,6,"""take",entwine
貸 し,6,lend,
要 だ,6,need,
自 由,6,oneself,reason
者 だ,6,someone,
神 様,6,god,"""formal"
目 的,6,eye,target
痛 い,6,pain,
畜 生,6,livestock,life
理 解,6,reason,untie
注 意,6,pour,idea
永 遠,6,eternity,far
気 か,6,feeling,
構 わ,6,construct,
望 み,6,hope,
最 悪,6,most,bad
明 日,6,bright,day
明 し,6,bright,
放 せ,6,release,
我 々,6,ego,
悪 く,6,bad,
悪 か,6,bad,
息 子,6,breath,child
思 わ,6,think,
得 な,6,acquire,
後 に,6,behind,
当 た,6,hit,
帰 り,6,return,
対 に,6,opposite,
夫 よ,6,husband,
夫 で,6,husband,
大 し,6,large,
君 が,6,you,
受 け,6,accept,
取 っ,6,take,
友 達,6,friend,attain
協 力,6,cooperation,power
力 を,6,power,
前 を,6,"""in",
前 が,6,"""in",
別 に,6,separate,
分 っ,6,part,
全 て,6,whole,
俺 を,6,i,
何 時,6,what,time
以 上,6,"""by",up
付 け,6,attach,
人 間,6,person,interval
久 し,6,"""long",
ー ブ,6,,
ー ケ,6,,
ー い,6,,
ン ナ,6,,
ン デ,6,,
ン タ,6,,
ン シ,6,,
ワ イ,6,,
レ ナ,6,,
レ ア,6,,
ル ズ,6,,
リ バ,6,,
マ リ,6,,
マ ズ,6,,
ヘ イ,6,,
ブ ル,6,,
ヒ ュ,6,,
ハ ー,6,,
ハ ン,6,,
ハ イ,6,,
ハ ァ,6,,
ノ ー,6,,
ニ ッ,6,,
ナ ン,6,,
ド ー,6,,
ト ラ,6,,
テ ッ,6,,
ッ チ,6,,
ッ グ,6,,
ダ ン,6,,
タ イ,6,,
ソ 野,6,,field
ス コ,6,,
ス は,6,,
ス と,6,,
シ ェ,6,,
サ リ,6,,
エ デ,6,,
ェ リ,6,,
ウ ー,6,,
ア ル,6,,
ァ ー,6,,
ん じ,6,,
を 閉,6,,closed
を 貸,6,,lend
を 愛,6,,love
を 上,6,,up
れ ろ,6,,
れ に,6,,
る つ,6,,
ら は,6,,
ら く,6,,
や り,6,,
や あ,6,,
も そ,6,,
め に,6,,
め な,6,,
み る,6,,
ほ ん,6,,
ほ っ,6,,
ぶ り,6,,
ぱ り,6,,
は 関,6,,related
は 思,6,,think
は フ,6,,
の 野,6,,field
の 言,6,,say
の 事,6,,"""abstract"
の つ,6,,
に 居,6,,reside
に 何,6,,what
な よ,6,,
ど な,6,,
で 終,6,,end
で ね,6,,
で な,6,,
で と,6,,
で だ,6,,
て 欲,6,,longing
て は,6,,
つ だ,6,,
つ き,6,,
っ ぱ,6,,
ち く,6,,
だ そ,6,,
た に,6,,
た で,6,,
た あ,6,,
ぜ そ,6,,
せ よ,6,,
す い,6,,
し ん,6,,
し み,6,,
し ぶ,6,,
し に,6,,
し そ,6,,
ざ ま,6,,
さ ぁ,6,,
こ ま,6,,
こ な,6,,
く 来,6,,come
ぎ る,6,,
き れ,6,,
か 言,6,,say
か わ,6,,
か が,6,,
お ー,6,,
お め,6,,
え ー,6,,
え は,6,,
え と,6,,
い さ,6,,
い が,6,,
あ ー,6,,
あ も,6,,
あ ね,6,,
あ げ,6,,
駄 目,5,burdensome,eye
間 の,5,interval,
配 す,5,distribute,
運 を,5,carry,
車 を,5,car,
談 で,5,discuss,
談 だ,5,discuss,
認 し,5,recognize,
話 す,5,talk,
訳 あ,5,translate,
許 し,5,permit,
解 で,5,untie,
解 っ,5,untie,
解 し,5,untie,
見 る,5,see,
要 は,5,need,
苦 労,5,suffer,labour
船 長,5,boat,long
興 味,5,entertain,flavor
聞 く,5,hear,
立 ち,5,"""stand",
知 る,5,know,
真 実,5,true,truth
番 だ,5,"""one's",
理 由,5,reason,reason
狂 っ,5,lunatic,
無 駄,5,nothing,burdensome
為 に,5,do,
気 の,5,feeling,
気 な,5,feeling,
殺 人,5,kill,person
武 器,5,military,container
次 は,5,next,
査 官,5,investigate,"""government"
敵 だ,5,enemy,
放 し,5,release,
探 し,5,grope,
捜 査,5,search,investigate
所 は,5,place,
戻 ら,5,re-,
我 と,5,ego,
急 い,5,hurry,
必 ず,5,"""without",
張 れ,5,stretch,
張 っ,5,stretch,
弁 し,5,valve,
度 は,5,degrees,
幸 運,5,happiness,carry
帰 ろ,5,return,
完 璧,5,perfect,sphere
安 心,5,cheap,heart
子 だ,5,child,
女 だ,5,woman,
夫 大,5,husband,large
大 好,5,large,like
嘘 で,5,,
味 だ,5,flavor,
君 も,5,you,
君 に,5,you,
合 い,5,fit,
可 能,5,possible,ability
勘 弁,5,intuition,valve
動 し,5,move,
切 れ,5,cut,
分 は,5,part,
具 合,5,tool,fit
全 く,5,whole,
入 り,5,enter,
僕 の,5,me,
俺 だ,5,i,
何 故,5,what,circumstances
体 ど,5,body,
今 日,5,now,day
今 度,5,now,degrees
今 夜,5,now,night
人 だ,5,person,
乾 杯,5,dry,"""counter"
乗 っ,5,ride,
世 界,5,world,world
上 が,5,up,
ー ヒ,5,,
ー ナ,5,,
ー ダ,5,,
ー キ,5,,
ヴ ァ,5,,
ン チ,5,,
ン ズ,5,,
ン グ,5,,
ロ ル,5,,
ロ ド,5,,
レ デ,5,,
レ ク,5,,
リ ズ,5,,
ョ ッ,5,,
ヤ バ,5,,
メ ダ,5,,
ミ ッ,5,,
ミ ス,5,,
ポ ー,5,,
ポ ッ,5,,
ボ ン,5,,
ベ ン,5,,
ベ ッ,5,,
フ ロ,5,,
フ フ,5,,
フ ェ,5,,
ビ ク,5,,
ヒ ー,5,,
パ イ,5,,
バ ン,5,,
バ リ,5,,
ハ ロ,5,,
ハ ム,5,,
ハ ッ,5,,
ナ イ,5,,
ド ン,5,,
ド ク,5,,
ト ー,5,,
ト ニ,5,,
ト ッ,5,,
ト だ,5,,
デ ー,5,,
ッ サ,5,,
チ ー,5,,
チ ョ,5,,
チ ク,5,,
ダ ー,5,,
ダ ニ,5,,
ソ ッ,5,,
ソ だ,5,,
ス マ,5,,
ジ ン,5,,
シ ン,5,,
シ ス,5,,
ザ ッ,5,,
ゲ イ,5,,
ク ロ,5,,
ギ ャ,5,,
ガ ー,5,,
カ な,5,,
イ モ,5,,
イ ノ,5,,
イ ズ,5,,
ィ ッ,5,,
ア ホ,5,,
ァ イ,5,,
を 覚,5,,memorize
を 聞,5,,hear
を 放,5,,release
を 捨,5,,"""throw"
を 持,5,,hold
を 呼,5,,call
を 出,5,,exit
を 信,5,,trust
を 付,5,,attach
を 下,5,,below
を ど,5,,
わ ー,5,,
わ ん,5,,
れ い,5,,
る ほ,5,,
る べ,5,,
る こ,5,,
り 得,5,,acquire
り ね,5,,
ら を,5,,
ら に,5,,
ら せ,5,,
よ っ,5,,
よ せ,5,,
や す,5,,
も 言,5,,say
も 知,5,,know
む か,5,,
み よ,5,,
み の,5,,
み だ,5,,
ま わ,5,,
ま ま,5,,
ば ん,5,,
ば ら,5,,
ば か,5,,
は 我,5,,ego
は ね,5,,
は で,5,,
の 男,5,,male
の 毒,5,,poison
の ま,5,,
の ね,5,,
に 出,5,,exit
に 任,5,,responsibility
に ち,5,,
ど け,5,,
と に,5,,
と く,5,,
で 全,5,,whole
で よ,5,,
て 見,5,,see
て わ,5,,
て ま,5,,
て だ,5,,
つ ん,5,,
っ け,5,,
ち ま,5,,
だ ま,5,,
だ ぞ,5,,
た こ,5,,
ず だ,5,,
ず い,5,,
す な,5,,
す げ,5,,
じ だ,5,,
し ー,5,,
し だ,5,,
さ な,5,,
さ か,5,,
ご 苦,5,,suffer
こ り,5,,
け 取,5,,take
け れ,5,,
け が,5,,
ぐ 戻,5,,re-
く る,5,,
き だ,5,,
が ら,5,,
が で,5,,
が し,5,,
か 用,5,,use
か ん,5,,
か れ,5,,
か ね,5,,
お 父,5,,father
お 母,5,,mother
お ま,5,,
お は,5,,
え も,5,,
え ま,5,,
う 違,5,,differ
う 少,5,,few
う っ,5,,
う ち,5,,
い 考,5,,think
い そ,5,,
あ ま,5,,
あ く,5,,
黙 れ,4,silence,
題 が,4,topic,
順 調,4,obey,investigate
