text,popularity,meaning1,meaning2
cui si,2391301,"prepositional of che: whom, which","oneself, himself, herself, itself, themselves"
ci sono,2358022,The name of the Latin script letter C/c.; cee,"first-person singular present indicative of essere: (I) am, I'm"
ma anche,2352861,"but, however","also, too, as well, besides"
il quale,2344305,the,what?
al suo,2296029,"contraction of a + il, literally “to the, at the”","his, her, its"
in particolare,2275462,in,"particular, private, personal (antonym of general)"
nella sua,2264773,contraction of in la; in the,feminine singular of suo
e delle,2240014,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","contraction of di le; of the, from the"
a me,2220302,"The first letter of the Italian alphabet, called a and written in the Latin script.",me
se la,2220106,abbreviation of sudest; southeast,the
lo sguardo,2217734,"the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the","glance, look (action of looking)"
ed è,2206439,"alternative form of e for euphony, especially before /e/ or /ɛ/; and","Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation"
di me,2202110,"used to indicate possession, after the thing owned and before the owner; of; ’s",me
si tratta,2199494,"oneself, himself, herself, itself, themselves",act of pulling
ai sensi,2194233,"contraction of a i; to the, at the",plural of senso
il primo,2187109,the,first
in grado,2182129,in,degree
non solo,2142066,not,"alone, by oneself, unattended, unaccompanied, lonely, lone, lonesome"
deve essere,2135134,third-person singular present indicative of dovere,Used as a copula. to be
il tempo,2127453,the,time
come una,2112969,how,feminine singular of uno
punto di,2096136,"point (all senses), jot, iota","used to indicate possession, after the thing owned and before the owner; of; ’s"
la porta,2093504,the,gate
tutti gli,2085331,"all; everybody, everyone","form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the"
per quanto,2084573,for,"how much, how many, however much, however many"
ad un,2076849,initialism of amministratore delegato (“CEO”),"apocopic form of uno: a, an"
perché non,2074882,"because, why",not
non ho,2048776,not,first-person singular present indicative of avere and (obsolete) havere
che sono,2046788,what; which,"first-person singular present indicative of essere: (I) am, I'm"
di fronte,2043932,"used to indicate possession, after the thing owned and before the owner; of; ’s","forehead, brow"
le cose,2029962,the,plural of cosa
per una,2024324,for,feminine singular of uno
e dei,2022795,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","contraction of di + i; of the, from the"
e se,2019477,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",abbreviation of sudest; southeast
e una,2012643,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",feminine singular of uno
con gli,2007677,"with, together","form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the"
nel suo,1987232,contraction of in il; in the,"his, her, its"
il loro,1972664,the,"they, them"
i miei,1951733,"The ninth letter of the Italian alphabet, called i and written in the Latin script.",masculine plural of mio
cura di,1941965,care,"used to indicate possession, after the thing owned and before the owner; of; ’s"
la stessa,1934037,the,feminine singular of stesso
di lei,1931711,"used to indicate possession, after the thing owned and before the owner; of; ’s",she
l' altro,1920785,"apocopic form of il/lo, la: the","other, another, more, further, else"
in ogni,1908196,in,"each, every"
i due,1896295,"The ninth letter of the Italian alphabet, called i and written in the Latin script.",two
se il,1882035,abbreviation of sudest; southeast,the
parte del,1873198,part,"contraction of di + il; some, of the, from the"
il fatto,1862976,the,"done, made"
per questo,1858357,for,"this, these"
qualcosa di,1855981,something,"used to indicate possession, after the thing owned and before the owner; of; ’s"
quello di,1845006,"that, those","used to indicate possession, after the thing owned and before the owner; of; ’s"
su un,1835195,"up, upstairs","apocopic form of uno: a, an"
a cura,1830193,"The first letter of the Italian alphabet, called a and written in the Latin script.",care
nei confronti,1827377,contraction of in i; in the,plural of confronto
una delle,1823159,feminine singular of uno,"contraction of di le; of the, from the"
verso il,1822720,verse,the
io non,1819471,I (the first-person singular nominative pronoun),not
possibilità di,1818938,possibility,"used to indicate possession, after the thing owned and before the owner; of; ’s"
sempre più,1806609,always,comparative degree of molto; more
come la,1797846,how,the
come il,1797084,how,the
dei suoi,1792959,"contraction of di + i; of the, from the",masculine plural of suo
il tuo,1792678,the,your (informal)
che ti,1791378,what; which,The name of the Latin script letter T/t.; tee
ma la,1788320,"but, however",the
a lui,1783369,"The first letter of the Italian alphabet, called a and written in the Latin script.",he
e io,1781669,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",I (the first-person singular nominative pronoun)
è che,1780613,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",what; which
dopo la,1774750,later,the
parte di,1771500,part,"used to indicate possession, after the thing owned and before the owner; of; ’s"
il nostro,1770075,the,our
il mondo,1768746,the,world
che per,1768516,what; which,for
come si,1759354,how,"oneself, himself, herself, itself, themselves"
che sia,1758793,what; which,inflection of essere:
verso la,1749270,verse,the
una cosa,1746360,feminine singular of uno,"thing, matter"
alla sua,1740332,"contraction of a + la; to the, at the",feminine singular of suo
per cui,1738391,for,"prepositional of che: whom, which"
a questo,1724556,"The first letter of the Italian alphabet, called a and written in the Latin script.","this, these"
prima che,1724167,feminine singular of primo,what; which
anche in,1720141,"also, too, as well, besides",in
cui al,1718106,"prepositional of che: whom, which","contraction of a + il, literally “to the, at the”"
l' art,1710410,"apocopic form of il/lo, la: the",
la tua,1709860,the,feminine singular of tuo
era una,1702787,"age, epoch, period",feminine singular of uno
anche il,1681987,"also, too, as well, besides",the
a fare,1677921,"The first letter of the Italian alphabet, called a and written in the Latin script.",to do
la nostra,1676991,the,feminine singular of nostro
quando si,1674826,when,"oneself, himself, herself, itself, themselves"
che hanno,1672931,what; which,third-person plural present indicative of avere and (obsolete) havere
di questa,1662849,"used to indicate possession, after the thing owned and before the owner; of; ’s",feminine singular of questo
ma il,1661521,"but, however",the
in realtà,1660865,in,reality
in caso,1657512,in,"chance, fate"
quel momento,1651563,"apocopic form of quello, used before a consonant (except impure s, gn, pn, ps, x, z)",moment
l' aveva,1647466,"apocopic form of il/lo, la: the",third-person singular imperfect indicative of avere
del mondo,1638315,"contraction of di + il; some, of the, from the",world
di fare,1638119,"used to indicate possession, after the thing owned and before the owner; of; ’s",to do
anche la,1633606,"also, too, as well, besides",the
per gli,1632531,for,"form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the"
era stata,1628233,"age, epoch, period",feminine singular of stato
di quella,1624153,"used to indicate possession, after the thing owned and before the owner; of; ’s",feminine singular of quello
per me,1620810,for,me
a cui,1619420,"The first letter of the Italian alphabet, called a and written in the Latin script.","prepositional of che: whom, which"
l' ho,1617605,"apocopic form of il/lo, la: the",first-person singular present indicative of avere and (obsolete) havere
ad esempio,1614817,initialism of amministratore delegato (“CEO”),example
con cui,1614234,"with, together","prepositional of che: whom, which"
su di,1612626,"up, upstairs","used to indicate possession, after the thing owned and before the owner; of; ’s"
che ne,1605428,what; which,abbreviation of nordest; northeast
una donna,1600091,feminine singular of uno,woman
che un,1599146,what; which,"apocopic form of uno: a, an"
per esempio,1593421,for,example
la propria,1590625,the,feminine singular of proprio
un certo,1588792,"apocopic form of uno: a, an","certain, sure"
possono essere,1588695,third-person plural present indicative of potere,Used as a copula. to be
ad una,1584004,initialism of amministratore delegato (“CEO”),feminine singular of uno
del tutto,1583690,"contraction of di + il; some, of the, from the",all
a quella,1582785,"The first letter of the Italian alphabet, called a and written in the Latin script.",feminine singular of quello
i loro,1582423,"The ninth letter of the Italian alphabet, called i and written in the Latin script.","they, them"
a quel,1580987,"The first letter of the Italian alphabet, called a and written in the Latin script.","apocopic form of quello, used before a consonant (except impure s, gn, pn, ps, x, z)"
di quanto,1578609,"used to indicate possession, after the thing owned and before the owner; of; ’s","how much, how many, however much, however many"
la voce,1573125,the,voice
che a,1572143,what; which,"The first letter of the Italian alphabet, called a and written in the Latin script."
non ti,1562791,not,The name of the Latin script letter T/t.; tee
le parole,1561845,the,plural of parola (“words”)
non so,1559196,not,first-person singular present indicative of sapere (“to know”)
di tutti,1556256,"used to indicate possession, after the thing owned and before the owner; of; ’s","all; everybody, everyone"
il giorno,1554269,the,day
è l',1551173,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation","apocopic form of il/lo, la: the"
sarebbe stato,1548848,third-person singular conditional of essere,"state (physical property of matter as solid, liquid, gas or plasma)"
quella di,1544694,feminine singular of quello,"used to indicate possession, after the thing owned and before the owner; of; ’s"
la quale,1540129,the,what?
era il,1538977,"age, epoch, period",the
in questa,1530227,in,feminine singular of questo
è in,1526268,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",in
in materia,1523912,in,"matter, substance, material, stuff"
detto che,1515728,past participle of dire,what; which
della vita,1507526,"contraction of di la; of the, from the",life
se si,1502780,abbreviation of sudest; southeast,"oneself, himself, herself, itself, themselves"
volta che,1501958,"time, instance, occasion",what; which
e alla,1501007,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","contraction of a + la; to the, at the"
mi sono,1497037,clitic accusative of io. me,"first-person singular present indicative of essere: (I) am, I'm"
una mano,1485563,feminine singular of uno,hand
in Italia,1483898,in,Italy (a country in Southern Europe)
il diritto,1478375,the,"straight, direct"
ha detto,1477185,third-person singular present indicative of avere and (obsolete) havere,past participle of dire
sotto il,1476430,"under, beneath, underneath",the
al di,1473077,"contraction of a + il, literally “to the, at the”","used to indicate possession, after the thing owned and before the owner; of; ’s"
a quello,1467175,"The first letter of the Italian alphabet, called a and written in the Latin script.","that, those"
e da,1463855,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",from (all senses)
di loro,1461373,"used to indicate possession, after the thing owned and before the owner; of; ’s","they, them"
cui il,1456765,"prepositional of che: whom, which",the
e quindi,1456179,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","therefore, hence, thus"
della legge,1451421,"contraction of di la; of the, from the",law
dire che,1445445,to utter (produce (speech or other sounds) with one's voice),what; which
modo di,1440437,"manner, way","used to indicate possession, after the thing owned and before the owner; of; ’s"
la possibilità,1437709,the,possibility
di ogni,1433268,"used to indicate possession, after the thing owned and before the owner; of; ’s","each, every"
diritto di,1432226,"straight, direct","used to indicate possession, after the thing owned and before the owner; of; ’s"
il più,1426254,the,comparative degree of molto; more
a volte,1421889,"The first letter of the Italian alphabet, called a and written in the Latin script.",plural of volta
davanti a,1420641,at the front; in front,"The first letter of the Italian alphabet, called a and written in the Latin script."
che tu,1420570,what; which,you (singular); thou
per non,1417649,for,not
la donna,1416728,the,woman
anche per,1415095,"also, too, as well, besides",for
il giudice,1414384,the,"judge, magistrate"
di aver,1410053,"used to indicate possession, after the thing owned and before the owner; of; ’s",apocopic form of avere
quelli che,1399529,masculine plural of quello,what; which
tipo di,1396293,"standard, model, average, stock","used to indicate possession, after the thing owned and before the owner; of; ’s"
un paio,1392919,"apocopic form of uno: a, an",pair
dopo aver,1392031,later,apocopic form of avere
tratta di,1381634,act of pulling,"used to indicate possession, after the thing owned and before the owner; of; ’s"
prima volta,1381364,feminine singular of primo,"time, instance, occasion"
ha fatto,1378967,third-person singular present indicative of avere and (obsolete) havere,"done, made"
di tutto,1376969,"used to indicate possession, after the thing owned and before the owner; of; ’s",all
di vista,1371914,"used to indicate possession, after the thing owned and before the owner; of; ’s",feminine singular of visto
del diritto,1371051,"contraction of di + il; some, of the, from the","straight, direct"
i capelli,1369317,"The ninth letter of the Italian alphabet, called i and written in the Latin script.",plural of capello (“single hair”); head hair
e al,1369284,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","contraction of a + il, literally “to the, at the”"
ci si,1367337,The name of the Latin script letter C/c.; cee,"oneself, himself, herself, itself, themselves"
fine di,1364135,thin,"used to indicate possession, after the thing owned and before the owner; of; ’s"
le loro,1362565,the,"they, them"
ma che,1361647,"but, however",what; which
sono stati,1360026,"first-person singular present indicative of essere: (I) am, I'm",plural of stato
non poteva,1348768,not,third-person singular imperfect indicative of potere
a tutti,1348074,"The first letter of the Italian alphabet, called a and written in the Latin script.","all; everybody, everyone"
tutto ciò,1346269,all,this
ma è,1341940,"but, however","Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation"
e anche,1333892,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","also, too, as well, besides"
su una,1332188,"up, upstairs",feminine singular of uno
che io,1331704,what; which,I (the first-person singular nominative pronoun)
quando il,1326211,when,the
che ho,1325569,what; which,first-person singular present indicative of avere and (obsolete) havere
le mie,1316768,the,feminine plural of mio
parte della,1315036,part,"contraction of di la; of the, from the"
ai fini,1314197,"contraction of a i; to the, at the","plural of fine (“end, conclusion”)"
di vita,1314055,"used to indicate possession, after the thing owned and before the owner; of; ’s",life
era la,1313924,"age, epoch, period",the
in piedi,1312105,in,plural of piede
la cosa,1311953,the,"thing, matter"
è possibile,1311071,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",possible
gli uomini,1308760,"form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the",plural of uomo
un attimo,1307426,"apocopic form of uno: a, an","moment, instant, second"
questo è,1307315,"this, these","Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation"
in fondo,1303293,in,deep
di uno,1302859,"used to indicate possession, after the thing owned and before the owner; of; ’s",one
stato di,1301790,"state (physical property of matter as solid, liquid, gas or plasma)","used to indicate possession, after the thing owned and before the owner; of; ’s"
di quel,1297713,"used to indicate possession, after the thing owned and before the owner; of; ’s","apocopic form of quello, used before a consonant (except impure s, gn, pn, ps, x, z)"
il nome,1297429,the,name
forma di,1296394,form,"used to indicate possession, after the thing owned and before the owner; of; ’s"
i quali,1295526,"The ninth letter of the Italian alphabet, called i and written in the Latin script.",plural of quale
in base,1288064,in,"base, alkaline"
mio padre,1285334,my; of mine (used attributively),father
paio di,1283413,pair,"used to indicate possession, after the thing owned and before the owner; of; ’s"
non ne,1282367,not,abbreviation of nordest; northeast
presenza di,1277761,presence,"used to indicate possession, after the thing owned and before the owner; of; ’s"
e così,1276053,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",so
il proprio,1275771,the,"one's, one's own, her (own), its (own), their (own)"
nel corso,1274999,contraction of in il; in the,"course (of a river, of a university, etc.)"
quando la,1272336,when,the
più che,1263965,comparative degree of molto; more,what; which
di avere,1259583,"used to indicate possession, after the thing owned and before the owner; of; ’s",to have
le braccia,1259158,the,plural of braccio (“arm”)
in relazione,1258499,in,connection
un giorno,1255511,"apocopic form of uno: a, an",day
tra il,1252678,between,the
cui la,1251798,"prepositional of che: whom, which",the
si sarebbe,1250945,"oneself, himself, herself, itself, themselves",third-person singular conditional of essere
con me,1249435,"with, together",me
dello Stato,1248512,"contraction of di lo; of the, from the","state (physical property of matter as solid, liquid, gas or plasma)"
sono state,1240729,"first-person singular present indicative of essere: (I) am, I'm",alternative form of estate
il cuore,1240687,the,heart
cosa che,1238761,"thing, matter",what; which
a che,1237901,"The first letter of the Italian alphabet, called a and written in the Latin script.",what; which
o meno,1225470,"The thirteenth letter of the Italian alphabet, called o and written in the Latin script.",less
lo so,1223814,"the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the",first-person singular present indicative of sapere (“to know”)
quella che,1222230,feminine singular of quello,what; which
una persona,1214852,feminine singular of uno,"person, pl people, persons"
si sono,1209803,"oneself, himself, herself, itself, themselves","first-person singular present indicative of essere: (I) am, I'm"
della mia,1208798,"contraction of di la; of the, from the",feminine singular of mio
il momento,1208540,the,moment
le persone,1204052,the,plural of persona
quel che,1193519,"apocopic form of quello, used before a consonant (except impure s, gn, pn, ps, x, z)",what; which
con lui,1192978,"with, together",he
in quella,1192353,in,feminine singular of quello
solo per,1191269,"alone, by oneself, unattended, unaccompanied, lonely, lone, lonesome",for
fino al,1190797,"till, until, as far as","contraction of a + il, literally “to the, at the”"
del lavoro,1188822,"contraction of di + il; some, of the, from the",work (all senses)
che lei,1186591,what; which,she
è più,1185219,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",comparative degree of molto; more
la verità,1182563,the,truth
la morte,1178835,the,death
serie di,1177425,series,"used to indicate possession, after the thing owned and before the owner; of; ’s"
aveva fatto,1175502,third-person singular imperfect indicative of avere,"done, made"
numero di,1171670,number,"used to indicate possession, after the thing owned and before the owner; of; ’s"
una parte,1169915,feminine singular of uno,part
per lo,1169268,for,"the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the"
a lungo,1165620,"The first letter of the Italian alphabet, called a and written in the Latin script.",long
e nel,1165421,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",contraction of in il; in the
materia di,1165083,"matter, substance, material, stuff","used to indicate possession, after the thing owned and before the owner; of; ’s"
un momento,1164119,"apocopic form of uno: a, an",moment
avrebbe potuto,1163276,third-person singular conditional of avere,past participle of potere
non avrebbe,1163064,not,third-person singular conditional of avere
che se,1157332,what; which,abbreviation of sudest; southeast
così come,1155078,so,how
di noi,1154701,"used to indicate possession, after the thing owned and before the owner; of; ’s",we; us
non sia,1153966,not,inflection of essere:
anche a,1152540,"also, too, as well, besides","The first letter of the Italian alphabet, called a and written in the Latin script."
a lei,1145372,"The first letter of the Italian alphabet, called a and written in the Latin script.",she
