text,popularity,meaning1,meaning2
关系 的,32960,relation; relationship; connection,of; ~'s (possessive particle)
活动 的,32743,to exercise; to move about; to work out,of; ~'s (possessive particle)
的 能力,32661,of; ~'s (possessive particle),capability
一 九,32553,one,nine
是 对,32546,to be (followed by substantives only),right; correct
了 中国,32499,(completed action marker),China
的 思想,32427,of; ~'s (possessive particle),thought
的 信息,32310,of; ~'s (possessive particle),information; news; message
的 内容,32114,of; ~'s (possessive particle),content; substance; details
存在 的,32011,to exist,of; ~'s (possessive particle)
商业 银行,31798,business,bank
持续 发展,31713,to continue; to last; to persist,development
体制 改革,31647,system,reform
的 金融,31602,of; ~'s (possessive particle),banking
较 大,31562,(bound form) to compare,big; large; great
的 价值,31554,of; ~'s (possessive particle),value; worth
主要 是,31412,main; principal; major; primary,to be (followed by substantives only)
的 结果,31407,of; ~'s (possessive particle),to bear fruit
在 中国,31398,to exist; to be alive,China
个 月,31331,used in 自個兒|自个儿[zi4 ge3 r5],moon
提供 了,31266,to offer,(completed action marker)
充分 发挥,31243,ample,to display
的 文化,30426,of; ~'s (possessive particle),culture
的 管理,30402,of; ~'s (possessive particle),to supervise
中国 经济,30352,China,economy
是 一,30200,to be (followed by substantives only),one
在 这,30177,to exist; to be alive,(pronoun) this; these
的 变化,30061,of; ~'s (possessive particle),(intransitive) to change; to vary
提出 了,30046,to raise (an issue),(completed action marker)
人民 群众,29924,the people,mass
尤其 是,29802,especially; particularly,to be (followed by substantives only)
企业 在,29689,company; firm; enterprise; corporation,to exist; to be alive
安全 生产,29627,safe; secure,to produce; to manufacture
个 百分点,29509,used in 自個兒|自个儿[zi4 ge3 r5],percentage point
面 对,29452,face,right; correct
等 方面,29375,to wait for; to await,respect
而 不是,29149,and,no
各 类,29096,each,kind; type; class; category
的 市场,28952,of; ~'s (possessive particle),marketplace; market; bazaar
显 着,28816,to make visible,variant of 著|着[zhao1]
有 利于,28752,to have; there is,to be beneficial to; to be conducive to
加强 对,28741,to reinforce; to strengthen; to enhance,right; correct
组织 的,28688,to organize,of; ~'s (possessive particle)
服务 的,28643,to serve,of; ~'s (possessive particle)
的 重大,28596,of; ~'s (possessive particle),great
某 些,28552,some,"classifier indicating a small amount or small number greater than 1: some, a few, several"
产生 的,28398,to arise; to come into being; to come about,of; ~'s (possessive particle)
不 可能,28266,no; not so,might (happen)
更 好,28185,to change or replace,good
人民 法院,28125,the people,court of law
几 个,28123,small table,used in 自個兒|自个儿[zi4 ge3 r5]
政府 的,28017,government,of; ~'s (possessive particle)
下 的,28017,down,of; ~'s (possessive particle)
义务 教育,28010,duty; obligation (CL:項|项[xiang4]),to educate
的 需要,27709,of; ~'s (possessive particle),to need; to want; to demand; to require
也 可以,27662,surname Ye,can
中国 人民,27602,China,the people
之 中,27417,"(possessive particle, literary equivalent of 的[de5])",(bound form) China; Chinese
的 利益,27406,of; ~'s (possessive particle),benefit
发 展,27257,to send out,surname Zhan
所有 的,27249,all,of; ~'s (possessive particle)
现 有,27222,to appear,to have; there is
城市 化,27149,city; town,variant of 花[hua1]
单位 的,27042,unit (of measure),of; ~'s (possessive particle)
两 种,26996,two,seed
的 东西,26970,of; ~'s (possessive particle),east and west
的 目的,26942,of; ~'s (possessive particle),purpose; aim; goal; target; objective
中共 中央,26915,"abbr. for 中國共產黨|中国共产党[Zhong1 guo2 Gong4 chan3 dang3], Chinese Communist Party",central
一 年,26881,one,surname Nian
制度 的,26833,"system (e.g. political, adminstrative etc)",of; ~'s (possessive particle)
的 理论,26793,of; ~'s (possessive particle),theory
的 事,26786,of; ~'s (possessive particle),matter
和 发展,26708,old variant of 和[he2],development
社会 责任,26697,society,responsibility; duty; liability
和 其他,26624,old variant of 和[he2],other
都 有,26575,surname Du,to have; there is
的 原因,26464,of; ~'s (possessive particle),cause
地区 的,26453,region; area (informal or geographical term),of; ~'s (possessive particle)
的 政策,26452,of; ~'s (possessive particle),policy
收 人,26341,to receive,person; people
主义 的,26269,-ism,of; ~'s (possessive particle)
的 中国,26226,of; ~'s (possessive particle),China
上市 公司,26224,to hit the market (of a new product),company; firm; corporation
某 种,26138,some,seed
多 的,26058,many; much; more; a lot of,of; ~'s (possessive particle)
全 区,26015,surname Quan,surname Ou
的 同时,25988,of; ~'s (possessive particle),at the same time; simultaneously
来 的,25967,to come,of; ~'s (possessive particle)
意味 着,25966,meaning,variant of 著|着[zhao1]
规定 的,25963,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota),of; ~'s (possessive particle)
发生 的,25801,"to happen; to occur; to take place; to arise (e.g. 發生問題|发生问题[fa1 sheng1 wen4 ti2] ""a problem arises"")",of; ~'s (possessive particle)
大 多数,25749,big; large; great,majority; most
全球 化,25742,the whole world,variant of 花[hua1]
相 比,25737,surname Xiang,Belgium
社会 发展,25689,society,development
制造 业,25607,to manufacture; to make,surname Ye
都 是,25571,surname Du,to be (followed by substantives only)
的 产品,25537,of; ~'s (possessive particle),goods
是 由,25478,to be (followed by substantives only),to follow
年 版,25378,surname Nian,a register
性 和,25368,nature,old variant of 和[he2]
建设 的,25313,to build; to construct; to establish; to develop; to institute,of; ~'s (possessive particle)
十 年,25222,ten,surname Nian
服务 业,25166,to serve,surname Ye
研究 的,25164,research,of; ~'s (possessive particle)
的 事情,25146,of; ~'s (possessive particle),affair; matter; thing; business
由 此,25115,to follow,this; these
教育 的,25076,to educate,of; ~'s (possessive particle)
不 少,25005,no; not so,few
是 以,24988,to be (followed by substantives only),old variant of 以[yi3]
的 需求,24957,of; ~'s (possessive particle),requirement
的 法律,24939,of; ~'s (possessive particle),law
城市 的,24909,city; town,of; ~'s (possessive particle)
相关 的,24899,related,of; ~'s (possessive particle)
有限 公司,24886,limited; finite,company; firm; corporation
的 规定,24815,of; ~'s (possessive particle),to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)
好 地,24798,good,-ly
人力 资源,24761,manpower,see 資源縣|资源县[Zi1 yuan2 Xian4]
市场 化,24753,marketplace; market; bazaar,variant of 花[hua1]
的 城市,24739,of; ~'s (possessive particle),city; town
企业 和,24619,company; firm; enterprise; corporation,old variant of 和[he2]
他 说,24539,"(third-person singular) (since the early 20th century, usu. male) he; him; his",to persuade
的 一种,24479,of; ~'s (possessive particle),one kind of; one type of
货币 政策,24470,currency,policy
的 精神,24466,of; ~'s (possessive particle),spirit
有 一,24405,to have; there is,one
和 完善,24360,old variant of 和[he2],"(of systems, facilities etc) comprehensive"
高等 教育,24320,high-level,to educate
后 的,24320,surname Hou,of; ~'s (possessive particle)
经济 体,24311,economy,used in 體己|体己[ti1 ji5]
是 因为,24280,to be (followed by substantives only),because; owing to; on account of
最大 的,24245,,of; ~'s (possessive particle)
贯彻 落实,24231,to implement,practical
政策 的,24198,policy,of; ~'s (possessive particle)
人民 共和国,24119,the people,republic
的 大,24093,of; ~'s (possessive particle),big; large; great
中国 社会,24053,China,society
等 等,24007,to wait for; to await,to wait for; to await
投资 者,23947,investment,(after a verb or adjective) one who (is) ...
的 地方,23845,of; ~'s (possessive particle),region
二 十条,23844,two,
它 是,23834,it,to be (followed by substantives only)
中 所,23828,(bound form) China; Chinese,actually
做 到,23816,to make; to produce,to reach; to arrive
并 没有,23779,and,haven't
良好 的,23769,good,of; ~'s (possessive particle)
文化 产业,23678,culture,industry
人大 代表,23677,Renmin University of China (abbr. for 中國人民大學|中国人民大学[Zhong1 guo2 Ren2 min2 Da4 xue2]),representative
上 年,23623,used in 上聲|上声[shang3 sheng1],surname Nian
十 七,23622,ten,seven
美国 的,23605,United States; USA; US,of; ~'s (possessive particle)
中华 人民,23595,"Zhonghua, historical and cultural term for China, often used to denote Chinese civilization and identity (as in 中華文化|中华文化[Zhong1 hua2 wen2 hua4] ""Chinese culture"")",the people
的 原则,23565,of; ~'s (possessive particle),principle
是 企业,23527,to be (followed by substantives only),company; firm; enterprise; corporation
形成 了,23415,to form; to take shape,(completed action marker)
主体 的,23347,main part,of; ~'s (possessive particle)
为 主,23248,as (in the capacity of),owner
有限 责任,23244,limited; finite,responsibility; duty; liability
这 两,23158,(pronoun) this; these,two
的 意见,23147,of; ~'s (possessive particle),idea
基础 设施,23109,base; foundation; basis,facilities
生活 的,23088,to live,of; ~'s (possessive particle)
成功 的,22943,to succeed,of; ~'s (possessive particle)
一定 要,22916,surely; certainly; definitely,(bound form) to demand; to coerce
第 三,22911,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")",surname San
少数 民族,22905,small number,nationality; ethnic group
的 公司,22774,of; ~'s (possessive particle),company; firm; corporation
会 的,22769,can; to have the skill; to know how to,of; ~'s (possessive particle)
系统 的,22608,system,of; ~'s (possessive particle)
有 的,22601,to have; there is,of; ~'s (possessive particle)
人民 代表,22561,the people,representative
的 比重,22492,of; ~'s (possessive particle),proportion
更多 的,22470,,of; ~'s (possessive particle)
的 通知,22444,of; ~'s (possessive particle),to notify
的 教育,22433,of; ~'s (possessive particle),to educate
特色 社会,22425,a characteristic; a distinctive feature or quality,society
这 次,22379,(pronoun) this; these,next in sequence
近年 来,22372,recent year(s),to come
生产 经营,22353,to produce; to manufacture,to engage in (business etc); to run; to operate
落实 科学,22320,practical,science
资源 的,22308,see 資源縣|资源县[Zi1 yuan2 Xian4],of; ~'s (possessive particle)
日 起,22305,(bound form) sun,to rise
是 什么,22282,to be (followed by substantives only),what?
一 批,22271,one,to ascertain
中国 人,22173,China,person; people
环境 保护,22169,environment,to protect
比 上,22115,Belgium,used in 上聲|上声[shang3 sheng1]
的 具体,22061,of; ~'s (possessive particle),concrete; specific; detailed
强 的,22046,surname Qiang,of; ~'s (possessive particle)
的 组织,21984,of; ~'s (possessive particle),to organize
责任 公司,21915,responsibility; duty; liability,company; firm; corporation
部门 的,21895,department,of; ~'s (possessive particle)
经营 者,21832,to engage in (business etc); to run; to operate,(after a verb or adjective) one who (is) ...
中心 的,21808,center; heart; core,of; ~'s (possessive particle)
更 大,21806,to change or replace,big; large; great
的 技术,21737,of; ~'s (possessive particle),technology; technique; skill
工 作,21736,work,(bound form) worker
有效 的,21700,effective,of; ~'s (possessive particle)
关键 词,21619,crucial point,old variant of 詞|词[ci2]
全 省,21601,surname Quan,to save; to economize; to be frugal
每 个,21581,each,used in 自個兒|自个儿[zi4 ge3 r5]
这 就,21576,(pronoun) this; these,(after a suppositional clause) in that case; then
等 问题,21571,to wait for; to await,question
三 十,21489,surname San,ten
银行 的,21457,bank,of; ~'s (possessive particle)
责任 的,21454,responsibility; duty; liability,of; ~'s (possessive particle)
在 此,21417,to exist; to be alive,this; these
这 就是,21387,(pronoun) this; these,exactly; precisely
科学 发展,21387,science,development
有 一个,21371,to have; there is,a; an; one
代表 的,21366,representative,of; ~'s (possessive particle)
的 领导,21274,of; ~'s (possessive particle),lead
的 角度,21264,of; ~'s (possessive particle),angle
就 可以,21233,(after a suppositional clause) in that case; then,can
社 会,21147,(bound form) society; organization; agency,can; to have the skill; to know how to
也 就是,21015,surname Ye,exactly; precisely
的 不同,20986,of; ~'s (possessive particle),different
的 特点,20977,of; ~'s (possessive particle),characteristic; trait; feature
收入 的,20934,to take in,of; ~'s (possessive particle)
比 上年,20932,Belgium,last year
作者 单位,20898,author; writer,unit (of measure)
的 国际,20890,of; ~'s (possessive particle),international
同比 增长,20880,(statistics) compared with the same period of the previous year; year on year; year over year,to grow; to increase
一 位,20875,one,position
需要 的,20822,to need; to want; to demand; to require,of; ~'s (possessive particle)
的 意义,20806,of; ~'s (possessive particle),sense
竞争 力,20799,to compete,surname Li
形成 的,20760,to form; to take shape,of; ~'s (possessive particle)
工作 中,20740,to work,(bound form) China; Chinese
的 有关,20667,of; ~'s (possessive particle),to have sth to do with
他 在,20611,"(third-person singular) (since the early 20th century, usu. male) he; him; his",to exist; to be alive
国民 经济,20570,nationals,economy
总 量,20554,(bound form) general; overall,to measure
文 化,20543,surname Wen,variant of 花[hua1]
马克思 主义,20538,Marx (name),-ism
相应 的,20532,to correspond,of; ~'s (possessive particle)
提出 的,20528,to raise (an issue),of; ~'s (possessive particle)
设施 建设,20453,facilities,to build; to construct; to establish; to develop; to institute
大 部分,20439,big; large; great,part; portion; piece
领导 干部,20428,lead,cadre
上诉 人,20355,to appeal (a judicial case),person; people
两 国,20352,two,surname Guo
在 北京,20346,to exist; to be alive,"Beijing municipality, capital of the People's Republic of China (short name 京[Jing1])"
人民 政府,20296,the people,government
的 实际,20215,of; ~'s (possessive particle),reality
内 的,20211,inside,of; ~'s (possessive particle)
产业 结构,20205,industry,structure
分 为,20193,to divide; to separate,as (in the capacity of)
生产 的,20187,to produce; to manufacture,of; ~'s (possessive particle)
的 态度,20113,of; ~'s (possessive particle),manner
的 投资,20070,of; ~'s (possessive particle),investment
的 力量,19975,of; ~'s (possessive particle),power; force; strength
经 济,19968,surname Jing,used in place names associated with the Ji River 濟水|济水[Ji3 Shui3]
项目 的,19966,item; project; (sports) event,of; ~'s (possessive particle)
的 价格,19944,of; ~'s (possessive particle),price
几 年,19941,small table,surname Nian
生活 中,19879,to live,(bound form) China; Chinese
领域 的,19872,domain; sphere; field; territory; area,of; ~'s (possessive particle)
的 不,19862,of; ~'s (possessive particle),no; not so
是 中国,19825,to be (followed by substantives only),China
的 知识,19771,of; ~'s (possessive particle),knowledge
人员 的,19729,staff,of; ~'s (possessive particle)
自身 的,19661,itself,of; ~'s (possessive particle)
的 土地,19647,of; ~'s (possessive particle),land
的 概念,19615,of; ~'s (possessive particle),concept
发展 中,19586,development,(bound form) China; Chinese
并 不是,19568,and,no
金融 危机,19566,banking,crisis
价值 的,19553,value; worth,of; ~'s (possessive particle)
世界 上,19536,world,used in 上聲|上声[shang3 sheng1]
传统 的,19514,tradition; traditional,of; ~'s (possessive particle)
四 是,19491,four,to be (followed by substantives only)
增加 值,19488,to raise; to increase,value
学 家,19486,to learn,used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]
法律 法规,19484,law,legislation
也 就,19455,surname Ye,(after a suppositional clause) in that case; then
在 校,19450,to exist; to be alive,to check; to collate; to proofread
的 财政,19397,of; ~'s (possessive particle),public finance; government finance
出现 了,19384,to appear,(completed action marker)
她 的,19376,she,of; ~'s (possessive particle)
对 此,19363,right; correct,this; these
养老 保险,19359,to provide for the elderly (family members),insurance
九 五,19312,nine,five
管理 制度,19206,to supervise,"system (e.g. political, adminstrative etc)"
条件 下,19177,condition; circumstance; term; factor,down
一体 化,19161,an integral whole,variant of 花[hua1]
事实 上,19157,fact,used in 上聲|上声[shang3 sheng1]
制度 和,19156,"system (e.g. political, adminstrative etc)",old variant of 和[he2]
出来 的,19147,to come out,of; ~'s (possessive particle)
技术 的,19141,technology; technique; skill,of; ~'s (possessive particle)
的 经验,19129,of; ~'s (possessive particle),experience
为 中心,19102,as (in the capacity of),center; heart; core
的 核心,19090,of; ~'s (possessive particle),core; nucleus
常委 会,19089,standing committee (abbr. for 常務委員會|常务委员会[chang2 wu4 wei3 yuan2 hui4]),can; to have the skill; to know how to
很 难,19087,very; quite,difficult (to...)
和 政府,19082,old variant of 和[he2],government
在 这个,19033,to exist; to be alive,(pronoun) this
我国 经济,19025,my country; our country,economy
的 关键,19006,of; ~'s (possessive particle),crucial point
两岸 关系,18995,bilateral,relation; relationship; connection
能力 的,18962,capability,of; ~'s (possessive particle)
的 权利,18935,of; ~'s (possessive particle),right (i.e. an entitlement to sth)
的 条件,18860,of; ~'s (possessive particle),condition; circumstance; term; factor
个人 的,18794,an individual; oneself; (attributive) personal; one's own,of; ~'s (possessive particle)
的 第,18758,of; ~'s (possessive particle),"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")"
的 环境,18744,of; ~'s (possessive particle),environment
必要 的,18738,necessary,of; ~'s (possessive particle)
发展 和,18730,development,old variant of 和[he2]
的 办法,18712,of; ~'s (possessive particle),way of handling sth; means; measure; (practical) solution to a problem
的 观点,18704,of; ~'s (possessive particle),point of view
的 服务,18691,of; ~'s (possessive particle),to serve
监督 管理,18618,to supervise; to oversee; to inspect,to supervise
正确 的,18579,correct; sound; right; proper,of; ~'s (possessive particle)
的 形式,18513,of; ~'s (possessive particle),outer appearance
一 个,18511,one,used in 自個兒|自个儿[zi4 ge3 r5]
但 在,18450,but; yet; however; still,to exist; to be alive
世界 的,18450,world,of; ~'s (possessive particle)
有关 部门,18434,to have sth to do with,department
如果 你,18411,if; in case; in the event that,"you (informal, as opposed to courteous 您[nin2])"
年 以来,18407,surname Nian,since (used after a specified time or event)
的 存在,18403,of; ~'s (possessive particle),to exist
人 在,18371,person; people,to exist; to be alive
生产 和,18349,to produce; to manufacture,old variant of 和[he2]
民族 自治,18333,nationality; ethnic group,autonomy
多 个,18308,many; much; more; a lot of,used in 自個兒|自个儿[zi4 ge3 r5]
信息 的,18271,information; news; message,of; ~'s (possessive particle)
并 在,18223,and,to exist; to be alive
一 方面,18206,one,respect
的 控制,18195,of; ~'s (possessive particle),to control
十 届,18151,ten,to arrive at (place or time)
人力 资本,18126,manpower,capital (economics)
是 我国,18120,to be (followed by substantives only),my country; our country
费 改革,18097,surname Fei,reform
较 高,18085,(bound form) to compare,surname Gao
行为 的,18073,action; conduct; behavior; activity,of; ~'s (possessive particle)
这 一点,18072,(pronoun) this; these,a bit; a little bit
主要 包括,18053,main; principal; major; primary,to comprise
社会 经济,18046,society,economy
的 机会,18000,of; ~'s (possessive particle),opportunity
城镇 化,17967,town,variant of 花[hua1]
经营 管理,17926,to engage in (business etc); to run; to operate,to supervise
和 服务,17906,old variant of 和[he2],to serve
提供 的,17903,to offer,of; ~'s (possessive particle)
金融 市场,17892,banking,marketplace; market; bazaar
企 业,17885,(bound form) to stand on tiptoe and look; to anticipate; to look forward to,surname Ye
分 之,17871,to divide; to separate,"(possessive particle, literary equivalent of 的[de5])"
改革 开放,17865,reform,to bloom
意识 形态,17863,consciousness; awareness,shape
范围 内,17851,range,inside
中国 共产党,17851,China,Communist Party
一 的,17795,one,of; ~'s (possessive particle)
十 二条,17789,ten,
和 地区,17781,old variant of 和[he2],region; area (informal or geographical term)
真正 的,17742,genuine; real; true,of; ~'s (possessive particle)
代表 大会,17703,representative,general assembly
结合 起来,17686,to combine,to stand up; to get up
的 各种,17659,of; ~'s (possessive particle),every kind of; all kinds of; various
规模 以上,17645,scale; scope; extent,that level or higher; that amount or more
有 一定,17612,to have; there is,surely; certainly; definitely
中 国,17611,(bound form) China; Chinese,surname Guo
进行 的,17610,(of a process etc) to proceed; to be in progress; to be underway,of; ~'s (possessive particle)
而 在,17606,and,to exist; to be alive
对 其,17580,right; correct,his
制度 改革,17579,"system (e.g. political, adminstrative etc)",reform
地产 业,17573,real estate; landed estate; landed property,surname Ye
存在 着,17506,to exist,variant of 著|着[zhao1]
人民 的,17495,the people,of; ~'s (possessive particle)
的 中,17488,of; ~'s (possessive particle),(bound form) China; Chinese
对 中国,17481,right; correct,China
巨大 的,17478,huge; immense; enormous; gigantic,of; ~'s (possessive particle)
是 不,17313,to be (followed by substantives only),no; not so
的 制度,17305,of; ~'s (possessive particle),"system (e.g. political, adminstrative etc)"
体系 建设,17289,system,to build; to construct; to establish; to develop; to institute
的 风险,17263,of; ~'s (possessive particle),risk; hazard
产业 化,17260,industry,variant of 花[hua1]
机构 的,17247,mechanism,of; ~'s (possessive particle)
的 分析,17193,of; ~'s (possessive particle),to analyze
这 也是,17159,(pronoun) this; these,
环境 的,17152,environment,of; ~'s (possessive particle)
和 市场,17119,old variant of 和[he2],marketplace; market; bazaar
的 最大,17112,of; ~'s (possessive particle),
最 重要,17111,variant of 最[zui4],important; significant; major
结构 调整,17062,structure,to adjust; to revise; to reorganize
中国 政府,17044,China,government
思想 政治,17041,thought,politics
公共 服务,17026,public; common; communal,to serve
助 于,17021,to help,surname Yu
可以 说,17003,can,to persuade
出 了,16979,to go out; to come out,(completed action marker)
的 各,16969,of; ~'s (possessive particle),each
的 地位,16928,of; ~'s (possessive particle),position
的 全部,16926,of; ~'s (possessive particle),whole; all
利益 的,16907,benefit,of; ~'s (possessive particle)
建立 健全,16900,to establish,robust
他 认为,16895,"(third-person singular) (since the early 20th century, usu. male) he; him; his",to believe; to think; to consider; to feel
