text,popularity,meaning1,meaning2
sich in,18739638,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","[with dative] in, inside, within, at (inside a building)"
ist die,18729898,third-person singular present of sein,nominative/accusative singular feminine of der
an die,18677446,"on, upon, at, in, against",nominative/accusative singular feminine of der
von den,18644911,from,inflection of der (“the”):
es war,18186524,"Refers to a neuter noun (person, animal, thing or abstract)",first-person singular preterite of sein: was
dass er,18092789,that,he
um die,17959133,about,nominative/accusative singular feminine of der
in einer,17488694,"[with dative] in, inside, within, at (inside a building)",genitive/dative feminine singular of ein
nach dem,17298651,"after, past (later in time)",dative masculine/neuter singular of der: the
und ich,16999767,and,I (first person singular nominative (subject) pronoun)
ist es,16674969,third-person singular present of sein,"Refers to a neuter noun (person, animal, thing or abstract)"
in diesem,16392984,"[with dative] in, inside, within, at (inside a building)",masculine/neuter dative singular of dieser
zu den,14985894,"to, towards (indicates directionality)",inflection of der (“the”):
mit einer,14943015,"with (in the company of, alongside)",genitive/dative feminine singular of ein
ich bin,14853683,I (first person singular nominative (subject) pronoun),first-person singular present of sein
nicht nur,14831428,"not, non- (negates the meaning of a verb, adjective, or adverb)","only, just, merely, simply"
die sich,14654305,nominative/accusative singular feminine of der,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
und den,14358090,and,inflection of der (“the”):
und in,14332049,and,"[with dative] in, inside, within, at (inside a building)"
vor allem,13826954,"in front of, ahead of (relative location in space)","Dative singular masculine and neutral gender forms of alles (""all"")."
dass ich,13787613,that,I (first person singular nominative (subject) pronoun)
es nicht,13745225,"Refers to a neuter noun (person, animal, thing or abstract)","not, non- (negates the meaning of a verb, adjective, or adverb)"
dass es,13666325,that,"Refers to a neuter noun (person, animal, thing or abstract)"
auf das,13568554,"[with dative] on, upon (positioned at the top of)",nominative/accusative neuter singular of der: the
über den,13339897,"[with accusative or dative] above, over (spatially)",inflection of der (“the”):
sie die,13186971,she; her,nominative/accusative singular feminine of der
nach der,13152872,"after, past (later in time)","nominative masculine singular definite article, the"
ist das,13148391,third-person singular present of sein,nominative/accusative neuter singular of der: the
ich mich,13110378,I (first person singular nominative (subject) pronoun),accusative of ich: me
sich auf,12993042,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","[with dative] on, upon (positioned at the top of)"
sie nicht,12724784,she; her,"not, non- (negates the meaning of a verb, adjective, or adverb)"
für das,12560041,describes an abstract directionality towards a person or matter,nominative/accusative neuter singular of der: the
und sie,12511399,and,she; her
es sich,12310105,"Refers to a neuter noun (person, animal, thing or abstract)","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
durch den,12285220,by means of; by; through,inflection of der (“the”):
ist der,12268308,third-person singular present of sein,"nominative masculine singular definite article, the"
zu einem,12224168,"to, towards (indicates directionality)",dative masculine/neuter singular of ein
wenn sie,12049203,"when, whenever",she; her
gar nicht,12040280,"cooked, done (of food such as meat or vegetables: ready for consumption)","not, non- (negates the meaning of a verb, adjective, or adverb)"
sie in,11989381,she; her,"[with dative] in, inside, within, at (inside a building)"
zu sein,11980152,"to, towards (indicates directionality)",forms the present perfect and past perfect tenses of certain verbs
als er,11917742,"at (approximately) the same moment, when, while, as",he
wie die,11805209,how,nominative/accusative singular feminine of der
die in,11649585,nominative/accusative singular feminine of der,"[with dative] in, inside, within, at (inside a building)"
nicht zu,11589177,"not, non- (negates the meaning of a verb, adjective, or adverb)","to, towards (indicates directionality)"
ist ein,11581946,third-person singular present of sein,one
zu einer,11566303,"to, towards (indicates directionality)",genitive/dative feminine singular of ein
wie ein,11516268,how,one
ein paar,11458740,one,some; few; a few
von dem,11381867,from,dative masculine/neuter singular of der: the
sich nicht,11369523,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","not, non- (negates the meaning of a verb, adjective, or adverb)"
habe ich,11321729,inflection of haben:,I (first person singular nominative (subject) pronoun)
den Kopf,11230403,inflection of der (“the”):,head
aber auch,11216334,but; however; though,"also, too, as well (in addition to whatever or whoever has previously been listed)"
als die,11054280,"at (approximately) the same moment, when, while, as",nominative/accusative singular feminine of der
noch nicht,10977922,"still, yet (up to and including a given time)","not, non- (negates the meaning of a verb, adjective, or adverb)"
bei den,10953753,"by, near",inflection of der (“the”):
wenn ich,10899701,"when, whenever",I (first person singular nominative (subject) pronoun)
gibt es,10873587,third-person singular present of geben,"Refers to a neuter noun (person, animal, thing or abstract)"
als sie,10752503,"at (approximately) the same moment, when, while, as",she; her
vor dem,10670963,"in front of, ahead of (relative location in space)",dative masculine/neuter singular of der: the
wenn er,10529929,"when, whenever",he
für eine,10509763,describes an abstract directionality towards a person or matter,nominative/accusative feminine singular of ein
war es,10372463,first-person singular preterite of sein: was,"Refers to a neuter noun (person, animal, thing or abstract)"
und dann,9982393,and,"then, after that"
sich mit,9935842,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","with (in the company of, alongside)"
auch nicht,9896444,"also, too, as well (in addition to whatever or whoever has previously been listed)","not, non- (negates the meaning of a verb, adjective, or adverb)"
und er,9856063,and,he
dass der,9617626,that,"nominative masculine singular definite article, the"
auch in,9545324,"also, too, as well (in addition to whatever or whoever has previously been listed)","[with dative] in, inside, within, at (inside a building)"
er die,9542163,he,nominative/accusative singular feminine of der
von einem,9506104,from,dative masculine/neuter singular of ein
sind die,9384144,first-person plural present of sein,nominative/accusative singular feminine of der
aus den,9344287,out,inflection of der (“the”):
und mit,9301567,and,"with (in the company of, alongside)"
das war,9256121,nominative/accusative neuter singular of der: the,first-person singular preterite of sein: was
in das,9228839,"[with dative] in, inside, within, at (inside a building)",nominative/accusative neuter singular of der: the
die beiden,9224721,nominative/accusative singular feminine of der,inflection of beide:
er war,9192235,he,first-person singular preterite of sein: was
nicht so,9152728,"not, non- (negates the meaning of a verb, adjective, or adverb)","so, such, that"
ist eine,9099979,third-person singular present of sein,nominative/accusative feminine singular of ein
wenn man,9019581,"when, whenever","one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)"
sich der,8985802,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","nominative masculine singular definite article, the"
und dem,8982313,and,dative masculine/neuter singular of der: the
und es,8946676,and,"Refers to a neuter noun (person, animal, thing or abstract)"
wie sie,8848262,how,she; her
ich nicht,8820211,I (first person singular nominative (subject) pronoun),"not, non- (negates the meaning of a verb, adjective, or adverb)"
in dieser,8791309,"[with dative] in, inside, within, at (inside a building)","this one, this"
sie mit,8767338,she; her,"with (in the company of, alongside)"
daß die,8623822,Formerly standard spelling of dass which was deprecated in the spelling reform (Rechtschreibreform) of 1996.,nominative/accusative singular feminine of der
sich um,8609587,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",about
als ich,8525303,"at (approximately) the same moment, when, while, as",I (first person singular nominative (subject) pronoun)
ich weiß,8512420,I (first person singular nominative (subject) pronoun),white
auf eine,8500939,"[with dative] on, upon (positioned at the top of)",nominative/accusative feminine singular of ein
hatte er,8499656,first/third-person singular preterite of haben,he
wenn die,8477804,"when, whenever",nominative/accusative singular feminine of der
er hatte,8394812,he,first/third-person singular preterite of haben
auf und,8346207,"[with dative] on, upon (positioned at the top of)",and
nicht in,8301589,"not, non- (negates the meaning of a verb, adjective, or adverb)","[with dative] in, inside, within, at (inside a building)"
um den,8271985,about,inflection of der (“the”):
durch das,8200642,by means of; by; through,nominative/accusative neuter singular of der: the
aber ich,8163051,but; however; though,I (first person singular nominative (subject) pronoun)
wir uns,8126526,we,accusative/dative of wir: us
sich zu,8101345,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","to, towards (indicates directionality)"
in seinem,8062547,"[with dative] in, inside, within, at (inside a building)",dative masculine/neuter singular of sein
sich an,8038546,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","on, upon, at, in, against"
wenn es,8038435,"when, whenever","Refers to a neuter noun (person, animal, thing or abstract)"
ist nicht,8021045,third-person singular present of sein,"not, non- (negates the meaning of a verb, adjective, or adverb)"
und sich,7993110,and,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
mehr als,7981570,something more,"at (approximately) the same moment, when, while, as"
sie zu,7911725,she; her,"to, towards (indicates directionality)"
aber nicht,7890121,but; however; though,"not, non- (negates the meaning of a verb, adjective, or adverb)"
die Augen,7881767,nominative/accusative singular feminine of der,plural of Auge
über das,7869249,"[with accusative or dative] above, over (spatially)",nominative/accusative neuter singular of der: the
immer wieder,7824664,always,again; indicates that the action taking place has happened before
und ein,7806059,and,one
gegen die,7732626,against,nominative/accusative singular feminine of der
zu können,7695635,"to, towards (indicates directionality)","to be able (to do or be something), to have the possibility of, can."
zwischen den,7664869,between,inflection of der (“the”):
und zu,7562693,and,"to, towards (indicates directionality)"
immer noch,7553077,always,"still, yet (up to and including a given time)"
hast du,7540296,second-person singular present of haben,"you (singular familiar), thou"
sagte er,7498199,inflection of sagen:,he
und auch,7480434,and,"also, too, as well (in addition to whatever or whoever has previously been listed)"
in seiner,7422524,"[with dative] in, inside, within, at (inside a building)",his (substantival possessive)
vor der,7369625,"in front of, ahead of (relative location in space)","nominative masculine singular definite article, the"
und so,7360266,and,"so, such, that"
und eine,7313933,and,nominative/accusative feminine singular of ein
und nicht,7295754,and,"not, non- (negates the meaning of a verb, adjective, or adverb)"
zu tun,7270936,"to, towards (indicates directionality)",to do (to perform or execute an action)
von einer,7260774,from,genitive/dative feminine singular of ein
wie es,7202358,how,"Refers to a neuter noun (person, animal, thing or abstract)"
die von,7153107,nominative/accusative singular feminine of der,from
für einen,7118498,describes an abstract directionality towards a person or matter,accusative masculine singular of ein
wie er,7118127,how,he
hatte sie,7116474,first/third-person singular preterite of haben,she; her
zu machen,7091577,"to, towards (indicates directionality)","to make, to produce, to create (an object, arrangement, situation, etc.)"
der sich,7084624,"nominative masculine singular definite article, the","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
sie das,7075385,she; her,nominative/accusative neuter singular of der: the
zu haben,7065731,"to, towards (indicates directionality)",forms the perfect aspect (have)
nur noch,7037162,"only, just, merely, simply","still, yet (up to and including a given time)"
sie auf,6997766,she; her,"[with dative] on, upon (positioned at the top of)"
er ist,6978196,he,third-person singular present of sein
war ein,6976599,first-person singular preterite of sein: was,one
nur die,6956601,"only, just, merely, simply",nominative/accusative singular feminine of der
es gibt,6955748,"Refers to a neuter noun (person, animal, thing or abstract)",third-person singular present of geben
sie den,6914456,she; her,inflection of der (“the”):
und damit,6860313,and,pronominal adverb of mit
als auch,6834750,"at (approximately) the same moment, when, while, as","also, too, as well (in addition to whatever or whoever has previously been listed)"
zu sehen,6791341,"to, towards (indicates directionality)",to see; to have sight
sie war,6690015,she; her,first-person singular preterite of sein: was
er in,6675687,he,"[with dative] in, inside, within, at (inside a building)"
er nicht,6648087,he,"not, non- (negates the meaning of a verb, adjective, or adverb)"
auch der,6586605,"also, too, as well (in addition to whatever or whoever has previously been listed)","nominative masculine singular definite article, the"
unter dem,6562486,under,dative masculine/neuter singular of der: the
noch einmal,6546614,"still, yet (up to and including a given time)","once, one time (one and only one time)"
in eine,6534434,"[with dative] in, inside, within, at (inside a building)",nominative/accusative feminine singular of ein
zu dem,6521614,"to, towards (indicates directionality)",dative masculine/neuter singular of der: the
die Frage,6515520,nominative/accusative singular feminine of der,question (interrogative sentence or phrase)
zu werden,6503425,"to, towards (indicates directionality)","will, to be going to, forms the future tense"
werden kann,6482152,"will, to be going to, forms the future tense",first/third-person singular present of können
sich das,6472184,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",nominative/accusative neuter singular of der: the
ein wenig,6463107,one,"little, few (a small amount, a small number)"
nicht die,6423246,"not, non- (negates the meaning of a verb, adjective, or adverb)",nominative/accusative singular feminine of der
die sie,6401198,nominative/accusative singular feminine of der,she; her
an dem,6340784,"on, upon, at, in, against",dative masculine/neuter singular of der: the
daß er,6298260,Formerly standard spelling of dass which was deprecated in the spelling reform (Rechtschreibreform) of 1996.,he
ich kann,6282133,I (first person singular nominative (subject) pronoun),first/third-person singular present of können
kann man,6279136,first/third-person singular present of können,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)"
nur ein,6273457,"only, just, merely, simply",one
was ich,6266941,what,I (first person singular nominative (subject) pronoun)
wenn du,6261724,"when, whenever","you (singular familiar), thou"
man sich,6243070,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)","Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
et al,6233168,,
er sie,6225909,he,she; her
wir haben,6212978,we,forms the perfect aspect (have)
unter den,6201662,under,inflection of der (“the”):
sich selbst,6191625,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","personally, by oneself"
im Rahmen,6183314,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi.","frame, scope"
bin ich,6182129,first-person singular present of sein,I (first person singular nominative (subject) pronoun)
was ist,6159432,what,third-person singular present of sein
die er,6124104,nominative/accusative singular feminine of der,he
und seine,6104758,and,inflection of seiner:
aber die,6102745,but; however; though,nominative/accusative singular feminine of der
sie sind,6102419,she; her,first-person plural present of sein
er den,6096640,he,inflection of der (“the”):
die die,6088814,nominative/accusative singular feminine of der,nominative/accusative singular feminine of der
in ihrer,6085167,"[with dative] in, inside, within, at (inside a building)",genitive of sie: of her
auch wenn,6076167,"also, too, as well (in addition to whatever or whoever has previously been listed)","when, whenever"
es in,6060052,"Refers to a neuter noun (person, animal, thing or abstract)","[with dative] in, inside, within, at (inside a building)"
dass das,6043218,that,nominative/accusative neuter singular of der: the
er hat,6034317,he,third-person singular present of haben
du hast,6013430,"you (singular familiar), thou",second-person singular present of haben
durch eine,6000928,by means of; by; through,nominative/accusative feminine singular of ein
sie es,5991284,she; her,"Refers to a neuter noun (person, animal, thing or abstract)"
in ihrem,5985504,"[with dative] in, inside, within, at (inside a building)","dative masculine/neuter singular of ihr: her, its, their (referring to a masculine or neuter object in the dative case)"
bis zum,5979977,until,"contraction of zu + dem, literally “to the; for the”"
war die,5974429,first-person singular preterite of sein: was,nominative/accusative singular feminine of der
wird die,5944940,third-person singular present of werden,nominative/accusative singular feminine of der
war er,5928015,first-person singular preterite of sein: was,he
ich will,5915070,I (first person singular nominative (subject) pronoun),first/third-person singular present of wollen
hatte sich,5907697,first/third-person singular preterite of haben,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
die Tür,5906393,nominative/accusative singular feminine of der,door (rigid plane on a hinge)
für ein,5897423,describes an abstract directionality towards a person or matter,one
ich mir,5883130,I (first person singular nominative (subject) pronoun),"dative of ich: me, to me"
sie hatte,5876913,she; her,first/third-person singular preterite of haben
während der,5870216,while (at the same time as),"nominative masculine singular definite article, the"
und wenn,5869470,and,"when, whenever"
der Welt,5850521,"nominative masculine singular definite article, the",world
sie ist,5846653,she; her,third-person singular present of sein
hat sich,5831847,third-person singular present of haben,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
ich war,5823647,I (first person singular nominative (subject) pronoun),first-person singular preterite of sein: was
sich ein,5809669,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",one
wie der,5801947,how,"nominative masculine singular definite article, the"
und ihre,5798857,and,inflection of ihr:
bei dem,5763503,"by, near",dative masculine/neuter singular of der: the
du bist,5747059,"you (singular familiar), thou",second-person singular present of sein
war das,5744869,first-person singular preterite of sein: was,nominative/accusative neuter singular of der: the
als der,5739699,"at (approximately) the same moment, when, while, as","nominative masculine singular definite article, the"
er mit,5724975,he,"with (in the company of, alongside)"
ich hatte,5721490,I (first person singular nominative (subject) pronoun),first/third-person singular preterite of haben
für mich,5718867,describes an abstract directionality towards a person or matter,accusative of ich: me
war der,5713231,first-person singular preterite of sein: was,"nominative masculine singular definite article, the"
ich werde,5712092,I (first person singular nominative (subject) pronoun),inflection of werden:
und auf,5706098,and,"[with dative] on, upon (positioned at the top of)"
dass du,5700756,that,"you (singular familiar), thou"
wenn Sie,5700298,"when, whenever",she; her
aber das,5677852,but; however; though,nominative/accusative neuter singular of der: the
was er,5666668,what,he
wenn wir,5656233,"when, whenever",we
wie ich,5651981,how,I (first person singular nominative (subject) pronoun)
das nicht,5648367,nominative/accusative neuter singular of der: the,"not, non- (negates the meaning of a verb, adjective, or adverb)"
dass sich,5645849,that,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
ich die,5635658,I (first person singular nominative (subject) pronoun),nominative/accusative singular feminine of der
daß sie,5605039,Formerly standard spelling of dass which was deprecated in the spelling reform (Rechtschreibreform) of 1996.,she; her
was sie,5600686,what,she; her
kann ich,5571345,first/third-person singular present of können,I (first person singular nominative (subject) pronoun)
die Hand,5564331,nominative/accusative singular feminine of der,hand
um eine,5557794,about,nominative/accusative feminine singular of ein
sondern auch,5553080,"rather, but (instead).","also, too, as well (in addition to whatever or whoever has previously been listed)"
dass wir,5546585,that,we
weil sie,5528899,"because, given that",she; her
sich im,5524250,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
ich es,5507474,I (first person singular nominative (subject) pronoun),"Refers to a neuter noun (person, animal, thing or abstract)"
es auch,5504640,"Refers to a neuter noun (person, animal, thing or abstract)","also, too, as well (in addition to whatever or whoever has previously been listed)"
auf einen,5495781,"[with dative] on, upon (positioned at the top of)",accusative masculine singular of ein
sich auch,5486927,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)","also, too, as well (in addition to whatever or whoever has previously been listed)"
an und,5476763,"on, upon, at, in, against",and
bis zu,5474094,until,"to, towards (indicates directionality)"
in Deutschland,5445080,"[with dative] in, inside, within, at (inside a building)","Germany (a nation or civilization occupying the country around the Rhine, Elbe, and upper Danube Rivers in Central Europe, taken as a whole under its various governments)"
nicht auf,5429800,"not, non- (negates the meaning of a verb, adjective, or adverb)","[with dative] on, upon (positioned at the top of)"
als ein,5419919,"at (approximately) the same moment, when, while, as",one
gab es,5392200,first/third-person singular preterite of geben,"Refers to a neuter noun (person, animal, thing or abstract)"
ist in,5392166,third-person singular present of sein,"[with dative] in, inside, within, at (inside a building)"
auch das,5384595,"also, too, as well (in addition to whatever or whoever has previously been listed)",nominative/accusative neuter singular of der: the
aber es,5380397,but; however; though,"Refers to a neuter noun (person, animal, thing or abstract)"
von ihm,5352104,from,"dative of er; him, to him (indirect object); for him (in some cases)."
und wie,5341871,and,how
die ganze,5334099,nominative/accusative singular feminine of der,inflection of ganz:
der in,5331270,"nominative masculine singular definite article, the","[with dative] in, inside, within, at (inside a building)"
mit ihm,5325339,"with (in the company of, alongside)","dative of er; him, to him (indirect object); for him (in some cases)."
der die,5310144,"nominative masculine singular definite article, the",nominative/accusative singular feminine of der
zum Beispiel,5294617,"contraction of zu + dem, literally “to the; for the”",example
noch ein,5294187,"still, yet (up to and including a given time)",one
hat er,5277154,third-person singular present of haben,he
und von,5250680,and,from
wenn der,5225802,"when, whenever","nominative masculine singular definite article, the"
wie eine,5193828,how,nominative/accusative feminine singular of ein
um das,5172912,about,nominative/accusative neuter singular of der: the
sie haben,5172897,she; her,forms the perfect aspect (have)
der Hand,5146339,"nominative masculine singular definite article, the",hand
und als,5142096,and,"at (approximately) the same moment, when, while, as"
sie an,5141057,she; her,"on, upon, at, in, against"
nach einer,5137242,"after, past (later in time)",genitive/dative feminine singular of ein
die im,5106411,nominative/accusative singular feminine of der,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
zu lassen,5083268,"to, towards (indicates directionality)",to allow; to permit; to let
sie ihn,5071485,she; her,"accusative of er; him, it (masculine, direct object)."
und des,5054867,and,genitive masculine/neuter singular of der: the
auch für,5035808,"also, too, as well (in addition to whatever or whoever has previously been listed)",describes an abstract directionality towards a person or matter
war nicht,5023436,first-person singular preterite of sein: was,"not, non- (negates the meaning of a verb, adjective, or adverb)"
an einem,5011272,"on, upon, at, in, against",dative masculine/neuter singular of ein
lässt sich,5008724,second/third-person singular present of lassen,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
ich das,4982823,I (first person singular nominative (subject) pronoun),nominative/accusative neuter singular of der: the
sich von,4981832,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",from
und im,4938992,and,"initialism of Inoffizieller Mitarbeiter / Inoffizielle Mitarbeiterin (“unofficial collaborator”), an informant in the German Democratic Republic who delivered private information to the Stasi."
sagte sie,4926938,inflection of sagen:,she; her
in denen,4919703,"[with dative] in, inside, within, at (inside a building)",dative plural of der
die mit,4896897,nominative/accusative singular feminine of der,"with (in the company of, alongside)"
auf einem,4882077,"[with dative] on, upon (positioned at the top of)",dative masculine/neuter singular of ein
man die,4868541,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)",nominative/accusative singular feminine of der
nach den,4866802,"after, past (later in time)",inflection of der (“the”):
er das,4864713,he,nominative/accusative neuter singular of der: the
zu der,4849626,"to, towards (indicates directionality)","nominative masculine singular definite article, the"
auch noch,4836571,"also, too, as well (in addition to whatever or whoever has previously been listed)","still, yet (up to and including a given time)"
nicht mit,4834065,"not, non- (negates the meaning of a verb, adjective, or adverb)","with (in the company of, alongside)"
werden können,4814852,"will, to be going to, forms the future tense","to be able (to do or be something), to have the possibility of, can."
sie auch,4809567,she; her,"also, too, as well (in addition to whatever or whoever has previously been listed)"
haben wir,4805175,forms the perfect aspect (have),we
aber er,4800807,but; however; though,he
der Zeit,4778299,"nominative masculine singular definite article, the",time (as a concept)
geht es,4778150,inflection of gehen:,"Refers to a neuter noun (person, animal, thing or abstract)"
als eine,4774281,"at (approximately) the same moment, when, while, as",nominative/accusative feminine singular of ein
so ist,4760289,"so, such, that",third-person singular present of sein
ich glaube,4757065,I (first person singular nominative (subject) pronoun),"belief, faith"
der Mann,4746939,"nominative masculine singular definite article, the","man, male human being"
bei einem,4738436,"by, near",dative masculine/neuter singular of ein
nur eine,4726247,"only, just, merely, simply",nominative/accusative feminine singular of ein
um sich,4715675,about,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
aber sie,4707162,but; however; though,she; her
am Ende,4693558,acronym of Anwendungsmanagement,"end, finish"
nicht einmal,4678065,"not, non- (negates the meaning of a verb, adjective, or adverb)","once, one time (one and only one time)"
bei einer,4660063,"by, near",genitive/dative feminine singular of ein
in ein,4631271,"[with dative] in, inside, within, at (inside a building)",one
die anderen,4615255,nominative/accusative singular feminine of der,inflection of anderer:
er es,4602668,he,"Refers to a neuter noun (person, animal, thing or abstract)"
hatte ich,4594936,first/third-person singular preterite of haben,I (first person singular nominative (subject) pronoun)
dass man,4594049,that,"one, you, they (indefinite pronoun, referring to people at large; construed as a third-person singular)"
werden die,4576883,"will, to be going to, forms the future tense",nominative/accusative singular feminine of der
mich nicht,4554210,accusative of ich: me,"not, non- (negates the meaning of a verb, adjective, or adverb)"
noch immer,4550455,"still, yet (up to and including a given time)",always
und was,4549191,and,what
es zu,4538521,"Refers to a neuter noun (person, animal, thing or abstract)","to, towards (indicates directionality)"
oder die,4534664,"Oder (a major river in the Czech Republic, Poland and Germany)",nominative/accusative singular feminine of der
ist und,4529344,third-person singular present of sein,and
unter der,4505824,under,"nominative masculine singular definite article, the"
sie mir,4494839,she; her,"dative of ich: me, to me"
der Stadt,4484792,"nominative masculine singular definite article, the",city (a large settlement)
ab und,4476369,beginning at that time or location; from,and
ich in,4449460,I (first person singular nominative (subject) pronoun),"[with dative] in, inside, within, at (inside a building)"
auf diese,4447216,"[with dative] on, upon (positioned at the top of)","nominative feminine singular of dieser; ""this"""
die der,4446529,nominative/accusative singular feminine of der,"nominative masculine singular definite article, the"
weil er,4440240,"because, given that",he
an das,4432455,"on, upon, at, in, against",nominative/accusative neuter singular of der: the
das Leben,4430960,nominative/accusative neuter singular of der: the,"to live, to be alive"
wie in,4429518,how,"[with dative] in, inside, within, at (inside a building)"
nur in,4421524,"only, just, merely, simply","[with dative] in, inside, within, at (inside a building)"
die Zeit,4403191,nominative/accusative singular feminine of der,time (as a concept)
die ich,4396735,nominative/accusative singular feminine of der,I (first person singular nominative (subject) pronoun)
